article_index,title,slug,issue_type,severity,location,details,needs_web_review
1,"Anterior Hip Replacement: Comparison, Candidacy, Recovery, and Key Questions",hip-arthroplasty-and-approaches,no_issues_found,info,article,No automated QA issues detected.,optional
2,Hip Arthroplasty and Approaches: Approach comparison,hip-arthroplasty-and-approaches-approach-comparison,no_issues_found,info,article,No automated QA issues detected.,optional
3,Who Is a Good Candidate for Hip Arthroplasty and Approaches?,hip-arthroplasty-and-approaches-candidacy,no_issues_found,info,article,No automated QA issues detected.,optional
4,Hip Arthroplasty and Approaches: Recovery timeline,hip-arthroplasty-and-approaches-recovery-timeline,no_issues_found,info,article,No automated QA issues detected.,optional
5,Risks and Complications for Hip Arthroplasty and Approaches,hip-arthroplasty-and-approaches-risks,no_issues_found,info,article,No automated QA issues detected.,optional
6,"Robotic Knee Replacement: What It Is, Who It Helps, and What to Expect",robotic-joint-replacement,no_issues_found,info,article,No automated QA issues detected.,optional
7,Robotic Joint Replacement: Robotic vs traditional,robotic-joint-replacement-robotic-vs-traditional,no_issues_found,info,article,No automated QA issues detected.,optional
8,Benefits of Robotic Joint Replacement,robotic-joint-replacement-benefits,no_issues_found,info,article,No automated QA issues detected.,optional
9,Robotic Joint Replacement: Systems,robotic-joint-replacement-systems,no_issues_found,info,article,No automated QA issues detected.,optional
10,Robotic Joint Replacement: Recovery,robotic-joint-replacement-recovery,no_issues_found,info,article,No automated QA issues detected.,optional
11,"Gustilo Anderson Classification: Key Concepts, Tables, and Practical Interpretation",fracture-classifications,no_issues_found,info,article,No automated QA issues detected.,optional
12,Fracture Classifications: Classification tables,fracture-classifications-classification-tables,no_issues_found,info,article,No automated QA issues detected.,optional
13,Fracture Classifications: Imaging examples,fracture-classifications-imaging-examples,no_issues_found,info,article,No automated QA issues detected.,optional
14,Fracture Classifications: Treatment implications,fracture-classifications-treatment-implications,no_issues_found,info,article,No automated QA issues detected.,optional
15,"Compartment Syndrome Surgery: What It Is, Who It Helps, and What to Expect",orthopedic-trauma,no_issues_found,info,article,No automated QA issues detected.,optional
16,Orthopedic Trauma: Emergency indications,orthopedic-trauma-emergency-indications,no_issues_found,info,article,No automated QA issues detected.,optional
17,Orthopedic Trauma: Fasciotomy timing,orthopedic-trauma-fasciotomy-timing,no_issues_found,info,article,No automated QA issues detected.,optional
18,Orthopedic Trauma: Fixation decision trees,orthopedic-trauma-fixation-decision-trees,no_issues_found,info,article,No automated QA issues detected.,optional
19,"Knee Aspiration: What It Is, Who It Helps, and What to Expect",knee-injections-and-aspiration,no_issues_found,info,article,No automated QA issues detected.,optional
20,Knee Injections and Aspiration: Arthrocentesis indications,knee-injections-and-aspiration-arthrocentesis-indications,no_issues_found,info,article,No automated QA issues detected.,optional
21,Knee Injections and Aspiration: Fluid analysis,knee-injections-and-aspiration-fluid-analysis,no_issues_found,info,article,No automated QA issues detected.,optional
22,Knee Injections and Aspiration: Aspiration vs injection,knee-injections-and-aspiration-aspiration-vs-injection,no_issues_found,info,article,No automated QA issues detected.,optional
23,"Knee Joint Aspiration: What It Is, Who It Helps, and What to Expect",general-orthopedic-procedures,no_issues_found,info,article,No automated QA issues detected.,optional
24,General Orthopedic Procedures: Procedure basics,general-orthopedic-procedures-procedure-basics,no_issues_found,info,article,No automated QA issues detected.,optional
25,General Orthopedic Procedures: Anatomy refreshers,general-orthopedic-procedures-anatomy-refreshers,no_issues_found,info,article,No automated QA issues detected.,optional
26,General Orthopedic Procedures: Indications/contraindications,general-orthopedic-procedures-indications-contraindications,no_issues_found,info,article,No automated QA issues detected.,optional
27,"Intraosseous Access: Comparison, Candidacy, Recovery, and Key Questions",access-lines-and-vascular-access,no_issues_found,info,article,No automated QA issues detected.,optional
28,Access Lines and Vascular Access: IO access indications,access-lines-and-vascular-access-io-access-indications,no_issues_found,info,article,No automated QA issues detected.,optional
29,Access Lines and Vascular Access: Landmarks,access-lines-and-vascular-access-landmarks,no_issues_found,info,article,No automated QA issues detected.,optional
30,Risks and Complications for Access Lines and Vascular Access,access-lines-and-vascular-access-complications,no_issues_found,info,article,No automated QA issues detected.,optional
31,Access Lines and Vascular Access: device comparison,access-lines-and-vascular-access-device-comparison,no_issues_found,info,article,No automated QA issues detected.,optional
32,"Plafond of Tibia: What It Is, Who It Helps, and What to Expect",orthopedic-anatomy,no_issues_found,info,article,No automated QA issues detected.,optional
33,Orthopedic Anatomy: Blood supply,orthopedic-anatomy-blood-supply,no_issues_found,info,article,No automated QA issues detected.,optional
34,Orthopedic Anatomy: Fracture relevance,orthopedic-anatomy-fracture-relevance,no_issues_found,info,article,No automated QA issues detected.,optional
35,Orthopedic Anatomy: Anatomy visuals,orthopedic-anatomy-anatomy-visuals,no_issues_found,info,article,No automated QA issues detected.,optional
36,"Surgical Asepsis: What It Is, Who It Helps, and What to Expect",sterility-and-surgical-setup,no_issues_found,info,article,No automated QA issues detected.,optional
37,Sterility and Surgical Setup: Sterile field setup,sterility-and-surgical-setup-sterile-field-setup,no_issues_found,info,article,No automated QA issues detected.,optional
38,Sterility and Surgical Setup: Rules,sterility-and-surgical-setup-rules,no_issues_found,info,article,No automated QA issues detected.,optional
39,Sterility and Surgical Setup: Breaches,sterility-and-surgical-setup-breaches,no_issues_found,info,article,No automated QA issues detected.,optional
40,Sterility and Surgical Setup: Checklists,sterility-and-surgical-setup-checklists,no_issues_found,info,article,No automated QA issues detected.,optional
41,"Orthopaedic Procedures: What It Is, Who It Helps, and What to Expect",orthopedic-education-content,no_issues_found,info,article,No automated QA issues detected.,optional
42,Orthopedic Education Content: Common procedures,orthopedic-education-content-common-procedures,no_issues_found,info,article,No automated QA issues detected.,optional
43,Orthopedic Education Content: Ortho notes,orthopedic-education-content-ortho-notes,no_issues_found,info,article,No automated QA issues detected.,optional
44,Orthopedic Education Content: Surgery atlas/overview,orthopedic-education-content-surgery-atlas-overview,no_issues_found,info,article,No automated QA issues detected.,optional
45,"Digital Nerve Block: What It Is, Who It Helps, and What to Expect",injection-and-nerve-block-techniques,no_issues_found,info,article,No automated QA issues detected.,optional
46,Injection and Nerve Block Techniques: Landmarks,injection-and-nerve-block-techniques-landmarks,no_issues_found,info,article,No automated QA issues detected.,optional
47,Injection and Nerve Block Techniques: Dosing,injection-and-nerve-block-techniques-dosing,no_issues_found,info,article,No automated QA issues detected.,optional
48,Injection and Nerve Block Techniques: Contraindications,injection-and-nerve-block-techniques-contraindications,no_issues_found,info,article,No automated QA issues detected.,optional
49,Injection and Nerve Block Techniques: Ultrasound vs landmark,injection-and-nerve-block-techniques-ultrasound-vs-landmark,no_issues_found,info,article,No automated QA issues detected.,optional
50,"Orif Tibial Plateau: What It Is, Who It Helps, and What to Expect",fracture-fixation-techniques,no_issues_found,info,article,No automated QA issues detected.,optional
51,Fracture Fixation Techniques: ORIF steps,fracture-fixation-techniques-orif-steps,no_issues_found,info,article,No automated QA issues detected.,optional
52,Fracture Fixation Techniques: Approach selection,fracture-fixation-techniques-approach-selection,no_issues_found,info,article,No automated QA issues detected.,optional
53,Fracture Fixation Techniques: Implants,fracture-fixation-techniques-implants,no_issues_found,info,article,No automated QA issues detected.,optional
54,Fracture Fixation Techniques: Rehab protocol,fracture-fixation-techniques-rehab-protocol,no_issues_found,info,article,No automated QA issues detected.,optional
55,"Lateral Knee Replacement Surgery: What It Is, Who It Helps, and What to Expect",knee-arthroplasty,no_issues_found,info,article,No automated QA issues detected.,optional
56,Who Is a Good Candidate for Knee Arthroplasty?,knee-arthroplasty-lateral-approach-candidacy,no_issues_found,info,article,No automated QA issues detected.,optional
57,Knee Arthroplasty: Outcomes,knee-arthroplasty-outcomes,no_issues_found,info,article,No automated QA issues detected.,optional
58,Knee Arthroplasty: Implant systems,knee-arthroplasty-implant-systems,no_issues_found,info,article,No automated QA issues detected.,optional
59,"Trigger Finger Surgery Video: Indications, Setup, Steps, and Aftercare",sports-medicine-and-upper-extremity,no_issues_found,info,article,No automated QA issues detected.,optional
60,Sports Medicine and Upper Extremity: Video Guide and Written Steps,sports-medicine-and-upper-extremity-surgical-video,no_issues_found,info,article,No automated QA issues detected.,optional
61,Sports Medicine and Upper Extremity: Steps,sports-medicine-and-upper-extremity-steps,no_issues_found,info,article,No automated QA issues detected.,optional
62,Sports Medicine and Upper Extremity: Pearls,sports-medicine-and-upper-extremity-pearls,no_issues_found,info,article,No automated QA issues detected.,optional
63,Sports Medicine and Upper Extremity: Rehab,sports-medicine-and-upper-extremity-rehab,no_issues_found,info,article,No automated QA issues detected.,optional
64,"Jackknife Position Surgery: What It Is, Who It Helps, and What to Expect",surgical-positioning,no_issues_found,info,article,No automated QA issues detected.,optional
65,Surgical Positioning: Uses,surgical-positioning-uses,no_issues_found,info,article,No automated QA issues detected.,optional
66,Surgical Positioning: Pressure points,surgical-positioning-pressure-points,no_issues_found,info,article,No automated QA issues detected.,optional
67,Surgical Positioning: Contraindications,surgical-positioning-contraindications,no_issues_found,info,article,No automated QA issues detected.,optional
68,Surgical Positioning: Positioning checklist,surgical-positioning-positioning-checklist,no_issues_found,info,article,No automated QA issues detected.,optional
69,"Below Knee Amputation Technique: What It Is, Who It Helps, and What to Expect",amputation-techniques,no_issues_found,info,article,No automated QA issues detected.,optional
70,Amputation Techniques: Below-knee vs above-knee flap design,amputation-techniques-below-knee-vs-above-knee-flap-design,no_issues_found,info,article,No automated QA issues detected.,optional
71,Amputation Techniques: Level selection,amputation-techniques-level-selection,no_issues_found,info,article,No automated QA issues detected.,optional
72,Amputation Techniques: Postoperative rehab,amputation-techniques-postoperative-rehab,no_issues_found,info,article,No automated QA issues detected.,optional
73,"Anterior Surgical Approach Hip: What It Is, Who It Helps, and What to Expect",surgical-approaches,no_issues_found,info,article,No automated QA issues detected.,optional
74,Surgical Approaches: Approach anatomy,surgical-approaches-approach-anatomy,no_issues_found,info,article,No automated QA issues detected.,optional
75,Surgical Approaches: Safe intervals,surgical-approaches-safe-intervals,no_issues_found,info,article,No automated QA issues detected.,optional
76,Surgical Approaches: Exposure pitfalls,surgical-approaches-exposure-pitfalls,no_issues_found,info,article,No automated QA issues detected.,optional
77,"Minimally Invasive Microdiscectomy: What It Is, Who It Helps, and What to Expect",spine-surgery,no_issues_found,info,article,No automated QA issues detected.,optional
78,Spine Surgery: Microdiscectomy overview,spine-surgery-microdiscectomy-overview,no_issues_found,info,article,No automated QA issues detected.,optional
79,Who Is a Good Candidate for Spine Surgery?,spine-surgery-candidacy,no_issues_found,info,article,No automated QA issues detected.,optional
80,Spine Surgery: Recovery,spine-surgery-recovery,no_issues_found,info,article,No automated QA issues detected.,optional
81,Benefits of Spine Surgery,spine-surgery-minimally-invasive-benefits,no_issues_found,info,article,No automated QA issues detected.,optional
82,"Suprapubic Catheter Placement Technique: What It Is, Who It Helps, and What to Expect",general-urologic-procedures,no_issues_found,info,article,No automated QA issues detected.,optional
83,General/urologic Procedures: Indications,general-urologic-procedures-indications,no_issues_found,info,article,No automated QA issues detected.,optional
84,General/urologic Procedures: Ultrasound guidance,general-urologic-procedures-ultrasound-guidance,no_issues_found,info,article,No automated QA issues detected.,optional
85,Risks and Complications for General/urologic Procedures,general-urologic-procedures-complications,no_issues_found,info,article,No automated QA issues detected.,optional
86,General/urologic Procedures: Aftercare,general-urologic-procedures-aftercare,no_issues_found,info,article,No automated QA issues detected.,optional
87,"Chest Tube Placement Video: Indications, Setup, Steps, and Aftercare",thoracic-procedures,no_issues_found,info,article,No automated QA issues detected.,optional
88,Thoracic Procedures: Chest tube indications,thoracic-procedures-chest-tube-indications,no_issues_found,info,article,No automated QA issues detected.,optional
89,Thoracic Procedures: Anatomy,thoracic-procedures-anatomy,no_issues_found,info,article,No automated QA issues detected.,optional
90,Thoracic Procedures: Steps,thoracic-procedures-steps,no_issues_found,info,article,No automated QA issues detected.,optional
91,Thoracic Procedures: Aftercare,thoracic-procedures-aftercare,no_issues_found,info,article,No automated QA issues detected.,optional
